product_id,product_name,category,price,cost,stock_quantity,reorder_level
202,Open-architected tangible frame,Office,146.77,90.82,229,28
203,Reactive clear-thinking core,Sports,34.76,17.15,150,25
204,Operative static implementation,Sports,117.19,96.00,255,22
205,Synergistic value-added conglomeration,Grocery,130.84,102.02,38,7
206,Seamless non-volatile framework,Sports,318.48,186.71,77,18
207,Open-architected neutral ability,Toys,43.93,21.51,269,63
208,Innovative executive database,Home & Garden,370.29,181.35,238,45
209,Optional zero tolerance paradigm,Office,440.47,177.01,19,5
210,Robust solution-oriented Graphic Interface,Grocery,116.18,77.31,170,34
211,Persistent leadingedge intranet,Electronics,316.52,157.25,156,12
212,Synergistic didactic migration,Books,311.18,171.12,457,46
213,Phased user-facing concept,Electronics,54.42,24.03,338,17
214,Switchable attitude-oriented forecast,Grocery,389.16,198.55,389,83
215,Profound stable productivity,Sports,35.98,19.02,247,53
216,Secured full-range array,Clothing,211.90,121.16,417,16
217,Versatile disintermediate service-desk,Toys,126.30,57.01,228,39
218,Integrated directional workforce,Beauty,330.62,175.06,155,21
219,Exclusive client-server algorithm,Sports,270.22,124.43,193,15
220,Balanced dynamic leverage,Clothing,317.55,149.96,11,5
221,Seamless zero administration archive,Books,246.88,112.88,377,44
222,Persevering intangible product,Home & Garden,29.00,13.63,430,43
223,Re-engineered content-based structure,Health,202.72,138.28,410,78
224,Total human-resource methodology,Grocery,243.38,152.04,461,82
225,Open-architected dynamic circuit,Electronics,104.76,59.84,261,32
226,Streamlined system-worthy ability,Automotive,91.21,49.19,381,85
227,Versatile zero administration benchmark,Toys,54.58,39.22,315,28
228,Vision-oriented interactive definition,Books,35.63,21.86,123,30
229,Enhanced tangible model,Books,171.43,135.79,140,24
230,Persistent actuating open architecture,Grocery,176.07,136.72,326,60
231,Fully-configurable bottom-line knowledgebase,Books,31.78,20.07,379,39
232,Devolved maximized secured line,Clothing,256.83,106.33,9,5
233,Progressive next generation policy,Grocery,218.59,144.29,245,49
234,Intuitive web-enabled intranet,Automotive,86.74,44.35,326,76
235,Seamless uniform middleware,Toys,116.55,66.29,106,22
236,Optimized neutral knowledge user,Grocery,172.59,74.10,356,22
237,Diverse value-added leverage,Beauty,58.59,33.08,150,33
238,Organized empowering system engine,Electronics,299.23,195.71,194,26
239,Fully-configurable scalable focus group,Automotive,40.08,22.68,442,86
240,Visionary zero-defect model,Automotive,381.67,190.20,346,13
241,Pre-emptive responsive encoding,Beauty,351.48,161.43,328,61
242,Grass-roots leadingedge archive,Home & Garden,169.90,116.12,200,5
243,Universal executive encoding,Health,307.81,160.25,284,15
244,Future-proofed full-range functionalities,Office,77.39,39.56,97,21
245,Quality-focused attitude-oriented challenge,Home & Garden,168.67,117.89,191,25
246,Distributed discrete info-mediaries,Sports,95.14,38.28,170,37
247,Team-oriented coherent strategy,Automotive,431.56,181.72,473,68
248,Extended asymmetric instruction set,Electronics,241.48,180.79,34,6
249,Open-source full-range moratorium,Grocery,419.98,188.58,410,57
250,Persistent intangible approach,Books,43.20,25.07,56,11
251,Expanded intangible info-mediaries,Toys,257.23,125.86,173,41
252,Visionary optimal standardization,Books,225.33,103.70,15,5
253,Ameliorated well-modulated orchestration,Books,43.26,22.32,427,20
254,Multi-tiered mission-critical ability,Books,208.59,139.00,389,21
255,Multi-channeled exuding system engine,Home & Garden,378.38,195.40,135,11
256,Networked intangible monitoring,Books,237.45,99.39,302,59
257,User-friendly user-facing moratorium,Clothing,44.93,19.00,341,61
258,Robust directional matrix,Clothing,240.34,163.44,200,7
259,Face-to-face encompassing Internet solution,Health,79.22,42.86,65,6
260,Pre-emptive 4thgeneration info-mediaries,Toys,120.19,88.47,401,97
261,Mandatory static service-desk,Home & Garden,313.74,144.57,436,109
262,Open-architected uniform concept,Books,45.69,19.14,190,30
263,Persistent clear-thinking process improvement,Automotive,80.05,43.61,339,59
264,Public-key 4thgeneration infrastructure,Health,229.51,144.27,34,5
265,Reverse-engineered non-volatile protocol,Toys,65.83,37.16,461,47
266,Assimilated attitude-oriented project,Toys,80.81,41.23,75,8
267,Optimized client-driven Local Area Network,Sports,226.24,156.47,391,36
268,Enterprise-wide actuating firmware,Clothing,78.02,33.87,373,66
269,Multi-tiered fresh-thinking data-warehouse,Toys,408.76,168.26,374,29
270,Persevering fresh-thinking Graphical User Interface,Automotive,219.88,117.25,302,7
271,Virtual homogeneous focus group,Electronics,246.49,134.72,363,87
272,Versatile intangible extranet,Sports,160.34,105.09,191,12
273,Configurable methodical adapter,Beauty,231.26,139.33,419,75
274,User-friendly needs-based application,Clothing,61.03,45.98,342,13
275,Monitored directional projection,Home & Garden,99.22,60.59,99,10
276,Cloned zero-defect projection,Office,162.32,115.68,171,18
277,Balanced web-enabled algorithm,Toys,39.73,26.03,430,71
278,Fully-configurable dedicated adapter,Grocery,8.36,6.71,164,37
279,Secured coherent encoding,Office,142.54,69.45,93,19
280,De-engineered methodical secured line,Automotive,234.00,105.72,112,14
281,Customizable non-volatile data-warehouse,Electronics,389.87,169.32,209,31
282,Persistent tangible extranet,Beauty,36.95,15.99,422,88
283,Visionary holistic concept,Sports,220.82,105.25,91,12
284,Robust real-time synergy,Home & Garden,160.27,85.52,280,53
285,Universal bifurcated time-frame,Toys,55.79,44.25,81,20
286,Diverse fault-tolerant benchmark,Clothing,288.93,165.42,232,23
287,Reduced 4thgeneration function,Toys,266.98,193.75,354,9
288,Re-engineered systematic implementation,Sports,146.94,70.60,31,7
289,Object-based transitional customer loyalty,Books,97.06,58.24,251,39
290,Compatible optimizing solution,Office,124.93,77.13,25,6
291,Self-enabling dynamic benchmark,Automotive,293.25,126.38,209,13
292,Total zero administration framework,Beauty,224.82,92.49,315,67
293,Synergized radical workforce,Toys,47.39,28.59,284,23
294,Decentralized non-volatile toolset,Office,166.31,84.12,454,89
295,Balanced grid-enabled monitoring,Health,390.70,160.15,459,23
296,Optimized stable hub,Health,33.05,18.03,441,18
297,Cloned motivating project,Automotive,261.56,128.32,78,19
298,Mandatory 24/7 instruction set,Clothing,324.43,192.63,431,46
299,Pre-emptive bi-directional Internet solution,Health,211.57,111.77,80,10
300,Multi-lateral scalable knowledgebase,Toys,88.55,49.51,54,9
301,Triple-buffered coherent Internet solution,Grocery,34.33,27.26,119,17
302,Enhanced upward-trending model,Sports,37.28,20.54,221,16
303,Streamlined encompassing pricing structure,Toys,14.27,5.96,117,16
304,Public-key zero-defect matrices,Automotive,368.13,193.03,491,20
305,Persistent intermediate superstructure,Automotive,18.96,8.14,246,8
306,Reverse-engineered encompassing Graphic Interface,Clothing,64.62,55.64,209,28
307,Fully-configurable background focus group,Health,281.08,183.29,424,77
308,Organized dynamic system engine,Beauty,298.43,166.83,168,28
309,Persistent non-volatile pricing structure,Beauty,305.02,183.51,223,32
310,Synchronized homogeneous Graphical User Interface,Toys,67.87,54.64,446,50
311,Assimilated modular Graphic Interface,Automotive,17.12,7.90,318,13
312,Enterprise-wide mobile data-warehouse,Office,37.14,15.06,422,82
313,Multi-channeled empowering Graphical User Interface,Health,245.97,152.01,39,8
314,Grass-roots radical standardization,Books,459.52,186.14,472,71
315,Grass-roots next generation access,Health,309.51,142.45,355,8
316,Programmable content-based artificial intelligence,Books,315.98,142.93,303,47
317,Front-line uniform installation,Toys,323.61,157.23,440,85
318,Pre-emptive next generation task-force,Office,94.80,63.06,169,19
319,Front-line system-worthy leverage,Home & Garden,297.07,132.31,495,68
320,Stand-alone transitional matrix,Grocery,246.10,107.04,174,10
321,Organized 3rdgeneration array,Grocery,321.25,188.35,432,17
322,Implemented directional initiative,Automotive,275.84,168.16,220,17
323,Team-oriented dynamic function,Clothing,227.66,133.73,140,11
324,Switchable optimal hub,Grocery,198.94,118.07,94,8
325,Phased neutral moderator,Grocery,223.62,123.22,134,6
326,Monitored interactive synergy,Sports,296.66,122.95,409,34
327,Reactive full-range help-desk,Home & Garden,126.90,96.17,356,86
328,Total logistical flexibility,Beauty,242.14,157.92,369,23
329,Integrated eco-centric emulation,Clothing,270.98,169.99,225,38
330,Decentralized uniform core,Clothing,163.99,88.02,376,56
331,Intuitive bottom-line synergy,Grocery,100.35,74.40,275,55
332,Public-key well-modulated solution,Home & Garden,20.31,12.21,294,39
333,Enterprise-wide content-based data-warehouse,Home & Garden,327.88,187.16,5,5
334,User-centric mission-critical focus group,Clothing,352.34,159.17,439,77
335,Up-sized optimizing task-force,Books,208.00,95.04,176,33
336,Progressive radical forecast,Health,101.70,82.34,442,88
337,Cross-platform content-based frame,Electronics,244.99,108.19,209,20
338,Focused high-level conglomeration,Toys,14.26,12.30,368,57
339,Innovative 24/7 strategy,Home & Garden,309.77,180.06,343,59
340,Public-key clear-thinking focus group,Electronics,422.81,186.88,1,5
341,Balanced actuating neural-net,Beauty,295.92,168.26,423,12
342,Implemented tangible capacity,Toys,65.71,27.78,191,11
343,Sharable web-enabled matrix,Toys,208.63,104.52,214,16
344,Customer-focused 24/7 orchestration,Electronics,161.41,65.06,231,37
345,Horizontal methodical matrices,Health,354.66,159.13,410,45
346,Organic global contingency,Health,28.91,23.36,9,5
347,Business-focused eco-centric matrices,Toys,203.61,151.75,185,33
348,Customizable asymmetric initiative,Beauty,282.74,133.20,305,9
349,Pre-emptive asynchronous orchestration,Automotive,154.97,112.26,291,38
350,Self-enabling systemic application,Books,328.65,145.09,351,11
351,Distributed coherent workforce,Grocery,288.94,193.17,245,18
352,Re-contextualized exuding artificial intelligence,Books,16.64,7.28,449,63
353,Fully-configurable bottom-line open architecture,Clothing,201.65,95.72,421,48
354,Virtual intangible portal,Automotive,102.16,71.67,301,38
355,Right-sized regional definition,Toys,62.20,43.98,188,16
356,Vision-oriented multi-state implementation,Electronics,334.31,165.58,186,37
357,Organized leadingedge framework,Electronics,172.85,130.19,448,80
358,Reverse-engineered interactive function,Health,41.11,32.41,214,52
359,Re-contextualized regional approach,Home & Garden,253.09,109.35,233,51
360,Seamless user-facing attitude,Grocery,362.45,168.52,227,44
361,Virtual demand-driven product,Toys,348.87,158.46,140,7
362,Extended empowering protocol,Electronics,204.44,167.97,68,13
363,Configurable cohesive encoding,Sports,216.95,143.05,316,26
364,Enhanced neutral archive,Electronics,267.54,133.84,435,13
365,Diverse 24hour installation,Electronics,217.65,104.27,437,7
366,Organized system-worthy policy,Health,144.36,124.56,461,31
367,Phased explicit alliance,Automotive,247.05,101.19,360,73
368,Focused executive strategy,Beauty,380.64,192.84,202,27
369,Horizontal tangible knowledgebase,Home & Garden,173.02,110.30,147,8
370,Compatible systemic emulation,Toys,132.99,58.44,313,67
371,Fundamental zero tolerance utilization,Automotive,177.49,90.02,301,12
372,Self-enabling optimizing protocol,Sports,48.86,33.77,359,72
373,Exclusive interactive budgetary management,Books,220.15,114.03,446,6
374,Quality-focused directional project,Electronics,15.02,6.86,357,87
375,Distributed encompassing circuit,Office,247.46,147.88,413,31
376,Compatible analyzing concept,Grocery,93.25,73.89,259,41
377,Integrated radical synergy,Sports,47.21,39.13,307,76
378,Re-contextualized executive intranet,Office,208.76,120.98,165,25
379,Decentralized maximized solution,Beauty,62.68,37.82,88,18
380,Innovative tangible initiative,Books,333.09,189.75,358,62
381,Future-proofed motivating moratorium,Clothing,484.65,199.05,233,49
382,Proactive leadingedge artificial intelligence,Health,175.05,119.80,356,10
383,Right-sized 6thgeneration Internet solution,Sports,305.13,170.06,445,55
384,User-centric fresh-thinking portal,Home & Garden,267.09,150.12,266,64
385,Function-based 4thgeneration array,Home & Garden,175.64,122.92,486,100
386,Focused systematic orchestration,Clothing,244.21,161.34,286,62
387,Reverse-engineered 3rdgeneration task-force,Office,161.24,65.79,307,35
388,Synergistic encompassing orchestration,Home & Garden,123.74,69.35,193,8
389,Balanced well-modulated system engine,Books,395.52,179.81,424,8
390,Enhanced methodical model,Office,64.68,31.40,399,88
391,Streamlined leadingedge focus group,Home & Garden,157.54,107.95,379,9
392,Enterprise-wide optimal Internet solution,Office,252.25,114.42,0,5
393,Sharable mobile array,Beauty,312.38,130.86,73,8
394,Phased grid-enabled installation,Books,420.27,186.19,226,53
395,Managed fresh-thinking secured line,Grocery,36.33,24.19,297,66
396,Customer-focused cohesive groupware,Automotive,220.13,110.19,467,27
397,Open-source system-worthy methodology,Toys,179.04,105.03,495,114
398,Horizontal stable initiative,Beauty,373.93,165.48,484,50
399,Virtual neutral alliance,Home & Garden,156.03,106.14,4,5
400,Persevering background functionalities,Books,118.74,52.58,76,9
401,Function-based fresh-thinking budgetary management,Toys,92.78,56.72,80,6
402,Visionary impactful migration,Sports,237.26,124.42,490,50
403,Adaptive stable moratorium,Sports,233.99,157.77,333,73
404,Persistent incremental application,Beauty,92.20,62.39,251,39
405,Ergonomic multi-state hierarchy,Home & Garden,289.16,167.77,87,15
406,Secured web-enabled methodology,Grocery,254.31,115.08,272,29
407,Self-enabling leadingedge task-force,Health,312.50,156.58,482,47
408,Business-focused demand-driven flexibility,Home & Garden,43.84,22.31,233,49
409,Reactive clear-thinking forecast,Grocery,243.37,152.03,437,55
410,Organic tangible matrix,Automotive,201.22,82.82,394,41
411,Decentralized 4thgeneration product,Books,37.02,14.83,54,9
412,Robust disintermediate strategy,Sports,48.52,39.93,375,39
413,Diverse fault-tolerant neural-net,Health,255.07,105.19,457,66
414,Advanced neutral installation,Home & Garden,246.27,190.62,409,76
415,Cross-group directional budgetary management,Health,323.51,169.90,152,9
416,Persistent bottom-line project,Beauty,200.22,164.86,205,40
417,Distributed modular structure,Home & Garden,271.50,113.57,481,98
418,Implemented multimedia strategy,Electronics,355.39,198.33,273,47
419,Future-proofed intangible matrices,Home & Garden,191.43,115.52,393,51
420,Phased dynamic knowledgebase,Beauty,82.76,60.65,277,35
421,Reactive client-server info-mediaries,Office,69.21,38.26,94,5
422,Ergonomic radical migration,Health,31.10,22.80,434,51
423,User-friendly client-driven architecture,Grocery,97.49,73.14,259,41
424,Grass-roots zero administration utilization,Sports,188.65,120.23,175,41
425,Operative global toolset,Toys,59.35,40.66,228,23
426,Profit-focused encompassing ability,Clothing,228.06,180.36,53,7
427,Horizontal uniform framework,Clothing,84.09,53.23,475,19
428,Reverse-engineered optimal protocol,Clothing,118.16,83.09,133,26
429,Pre-emptive coherent knowledge user,Office,236.90,101.71,90,10
430,Public-key mission-critical hardware,Electronics,62.57,39.15,398,44
431,Managed neutral task-force,Home & Garden,103.19,52.24,119,25
432,Quality-focused homogeneous knowledgebase,Books,344.97,197.15,276,39
433,Inverse content-based standardization,Sports,110.60,95.80,328,67
434,Front-line object-oriented info-mediaries,Grocery,389.92,156.79,8,5
435,Focused zero-defect installation,Grocery,63.30,29.70,307,23
436,Balanced foreground synergy,Home & Garden,116.93,90.92,284,48
437,Phased tertiary workforce,Grocery,239.66,177.26,439,32
438,Multi-tiered human-resource protocol,Electronics,114.36,55.46,500,105
439,Streamlined coherent methodology,Clothing,192.33,140.61,207,41
440,Automated clear-thinking middleware,Toys,58.55,45.75,296,56
441,Reverse-engineered full-range attitude,Books,221.53,160.95,300,51
442,Organic bandwidth-monitored moderator,Toys,298.08,159.02,411,14
443,Persevering 24/7 success,Office,235.12,178.66,399,22
444,Digitized incremental projection,Office,35.30,20.09,414,39
445,Distributed asynchronous leverage,Home & Garden,134.09,88.50,450,14
446,Fundamental global process improvement,Clothing,124.26,93.15,415,37
447,Team-oriented hybrid projection,Grocery,102.60,87.55,266,5
448,Configurable full-range service-desk,Office,15.56,10.61,51,12
